ID,Cote,Intitulé,Période début,Type,Quantité,Fonction,Code fonction,Mots-clés,Types de documents,Date ouverture,Date clôture,Système,Durée conservation,Sort final,Période fin,Observations
2166,1620/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,08  PIECES,ORDRE DE VIREMENT,GFC,ORDRE DE VIREMENT; CBI; FINANCE; COMPTABILITE,ORDRE DE VIREMENT,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2167,1621/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE VIREMENT:IB,2021,DOSSIER,20 PIECES,ORDRE DE VIREMENT,GFC,ORDRE DE VIREMENT; IB BANK; FINANCE; COMPTABILITE,ORDRE DE VIREMENT,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2168,1622/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,22 PIECES,ORDRE DE VIREMENT,GFC,ORDRE DE VIREMENT; BCB; FINANCE; COMPTABILITE,ORDRE DE VIREMENT,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2169,1623/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,07  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,ORDRE DE PAIEMENT,16-01-2024,30-08-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2170,1624/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,27PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,ORDRE DE PAIEMENT,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2171,1625/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,18  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2172,1626/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,22 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2173,1627/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,20  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2174,1628/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,20  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2175,1629/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,30  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2176,1630/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,22  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABILITE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2177,1631/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,28  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABILITE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2178,1632/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,21  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABILITE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2179,1633/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,39  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABILITE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2180,1634/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,38  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABILITE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,PM:3393;3402-3408;3416
2181,1635/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,15  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABILITE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,PM:3422;3424-3436
2182,1636/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,10  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABILITE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,PM:3506-3510
2183,1637/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE,2021,DOSSIER,28  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABILITE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,2024,NON,10 ANS,CONSERVATION DEFINITIVE,,
2184,1638/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,34  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:3634;3623-3622;3654
2185,1639/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,35  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:3681;3694-3699;3700-3708;3719-3730
2186,1640/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,19  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2187,1641/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,05  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2188,1642/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,03  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2189,1643/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,10  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2190,1644/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,13  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2191,1645/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,12  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2192,1646/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,17  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:3867;3880-3884
2193,1647/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,22  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:3905;3914;3917-3918
2194,1648/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,14  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2195,1649/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,22  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:3946-3950;3962
2196,1650/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,14  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2197,1651/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,37  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:3997;4000-4003;4018
2198,1652/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,09  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2199,1653/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,18  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2200,1654/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,07  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2201,1655/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,34  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2202,1656/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,38  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:4245;4521;4504
2203,1657/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,10  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2204,1658/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,14  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2205,1659/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,28  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2206,1660/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,22  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:4655-4656;4663;4668-4670;4677
2207,1661/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,22  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:4718-4721
2208,1662/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,22  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:4791;4802-4810;4813
2209,1663/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,18  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2210,1664/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,20  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2211,1665/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,11  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2212,1666/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,24  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5016;5020;5037;5041;5043
2213,1667/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,10  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2214,1668/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,21  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5088
2215,1669/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,28  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2216,1670/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,09  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5158
2217,1671/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,26  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5169-5174;5178;5182-5183;5185;
2218,1672/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,24  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5205-5206;5209;5212;5216;;5226-5227
2219,1673/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,24  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5255-5256
2220,1674/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,40  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5293
2221,1675/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,34  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2222,1676/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,19  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5416-5417;5426-5427
2223,1677/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,29  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5434;5436;5441;5482;5466;5468;5477;5482
2224,1678/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,25  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5486;5488-5491
2225,1679/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,17  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2226,1680/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,49  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5629;;5632;5634-5642
2227,1681/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,34  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2228,1682/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,42  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:5749;5752-5757;5826;5807-5818
2229,1683/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,44  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2230,1684/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,24  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2231,1685/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE PAIEMENT,2021,DOSSIER,16  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE PAIEMENT; BOA; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2232,1686/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE VIREMENT,2022,DOSSIER,15  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE VIREMENT; BABF; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:10
2233,1687/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE VIREMENT,2022,DOSSIER,10  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE VIREMENT; BABF; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:17-25;27-29
2234,1688/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE VIREMENT,2022,DOSSIER,26  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE VIREMENT; BABF; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2235,1689/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE VIREMENT,2022,DOSSIER,07  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE VIREMENT; BABF; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:0082
2236,1690/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE VIREMENT,2022,DOSSIER,14  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE VIREMENT; BABF; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
2237,1691/GFC,GESTION FINANCIERE ET COMPTABLE:ORDRE DE VIREMENT,2022,DOSSIER,19  PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ORDRE DE VIREMENT; BABF; FINANCE; COMPTABILITE,PIECE COMPTABLE,16-01-2024,18-11-2024,NON,10 ANS,CONSERVATION DEFINITIVE,,Nø MANQUANTS:
