ref,titre,contenu,analyse_diplomatique,annee
1115/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- TTF AVRIL 2018,"TRANSPORT, ENLEVEMENT, TTF, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1116/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- OSPP DECEMBRE2017,"TRANSPORT, ENLEVEMENT, OSPP, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2017, PASSAGE GED   : NON SORT FINAL : D",
1117/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- OSPP JANVIER 2018,"TRANSPORT, ENLEVEMENT, OSPP, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1118/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- OSPP FEVRIER 2018,"TRANSPORT, ENLEVEMENT, OSPP, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1119/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- OSPP MARS 2018,"TRANSPORT, ENLEVEMENT, OSPP, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1120/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- OSPP AVRIL 2018,"TRANSPORT, ENLEVEMENT, OSPP, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1121/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- PEB DECEMBRE 2017,"TRANSPORT, ENLEVEMENT, PEB, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2017, PASSAGE GED   : NON SORT FINAL : D",
1122/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- PEB FEVRIER 2018,"TRANSPORT, ENLEVEMENT, PEB, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1123/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- PEB FEVRIER 2018,"TRANSPORT, ENLEVEMENT, PEB, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1124/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- PEB MARS 2018,"TRANSPORT, ENLEVEMENT, PEB, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1125/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- PEB AVRIL 2018,"TRANSPORT, ENLEVEMENT, PEB, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1126/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- ORYX DECEMBRE 2017,"TRANSPORT, ENLEVEMENT, ORYX, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2017, PASSAGE GED   : NON SORT FINAL : D",
1127/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- ORYX JANVIER 2018,"TRANSPORT, ENLEVEMENT, ORYX, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1128/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- ORYX FEVRIER 2018,"TRANSPORT, ENLEVEMENT, ORYX, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1129/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- ORYX MARS 2018,"TRANSPORT, ENLEVEMENT, ORYX, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1131/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- STSL DECEMBRE 2017,"TRANSPORT, ENLEVEMENT, STSL, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2017, PASSAGE GED   : NON SORT FINAL : D",
1132/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- STSL JANVIER 2018,"TRANSPORT, ENLEVEMENT, STSL, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1133/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- STSL FEVRIER 2018,"TRANSPORT, ENLEVEMENT, STSL, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1134/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- STSL MARS 2018,"TRANSPORT, ENLEVEMENT, STSL, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1135/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- STSL AVRIL 2018,"TRANSPORT, ENLEVEMENT, STSL, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
1130/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS BLEU- ORYX AVRIL 2018,"TRANSPORT, ENLEVEMENT, ORYX, PRODUIT PETROLIER","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : 2018, PASSAGE GED   : NON SORT FINAL : D",
0181/APP,ACHAT DE PRODUITS PETROLIERS : FACTURES DE SGS TOGO 2010,"ACHAT, PRODUIT PETROLIER, SGS, FACTURATION","(FACTURE, ETAT) DATE EXTREME  : 2010,",2010 SORT FINAL : CONSERVATION DEFINITIVE
0182/APP,ACHAT DE PRODUITS PETROLIERS : FACTURES D'ACHAT DE LA SIR DE 2014,"ACHAT, PRODUIT PETROLIER, SOCIETE IVOIRIENNE DE RAFFINAGE, SIR, FACTURATION","(FACTURE, CONTRAT) DATE EXTREME  : 2014,",2014 SORT FINAL : DESTRUCTION
1200/FRP,VENTE DE PRODUITS PETROLIERS : REPARTITION DE GADGETS 2013-2014,"VENTE, GADGET, MARKETING, PRODUIT PETROLIER","(ETAT) DATE EXTREME  : 2013-2014, SORT FINAL : DESTRUCTION",
"""TITRE/DOSSIER : VENTE DE PRODUITS PETROLIERS : CLIENT """"TOTAL BURKINA""""""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, TOTAL BURKINA","(FACTURE) DATE EXTREME  : 2008-2010, SORT FINAL : CONSERVATION",
"""SHELL """"2011-2012""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, FACTURATION, BURKINA SHELL","(FACTURE, ORDRE DE CHARGEMENT, BORDEREAU D'ENVOI) DATE EXTREME  : 2011-2012,",20112012 SORT FINAL : CONSERVATION DEFINITIVE
"""TITRE/DOSSIER : VENTE DE PRODUITS PETROLIERS : CLIENTELE """" PETROFA""""""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, FACTURATION, PETROFA","(ETAT, COPIE DE CHEQUE, BON DE COMMANDE) DATE EXTREME  : 2014, SORT FINAL : CONSERVATION DEFINITIVE",
"""TITRE/DOSSIER : VENTE DE PRODUITS PETROLIERS : CLIENTELE """" OILIBYA""""""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, FACTURATION, OILIBYA","(FACTURE) DATE EXTREME  : 2009, 2013, SORT FINAL : CONSERVATION DEFINITIVE",
"""SODIGAZ""""""",,"VENTE, GAZ BUTANE, CLIENTELE, SUBVENTION, DISTRIBUTION, BOBO DIOULASSO, FACTURATION","(LISTE DE CLIENT, TITRE DE PAIEMENT) DATE EXTREME  : 2009, 2012, SORT FINAL : CONSERVATION DEFINITIVE",
"""TITRE/DOSSIER : VENTE DE PRODUITS PETROLIERS : CLIENTELE """"PETRODIS""""""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, FACTURATION, PETRODIS","(ETAT, FACTURE) DATE EXTREME  : 2014,",2014 SORT FINAL : CONSERVATION DEFINITIVE
"""TITRE/DOSSIER : VENTE DE PRODUITS PETROLIERS : CLIENTELE """"SODHYFA """"""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, AGREMENT, SODHYFA","(DEMANDE D'AGREMENT) DATE EXTREME  : 2012,",2012 SORT FINAL : CONSERVATION DEFINITIVE
"""SERVICES """"""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, CAUTION, BIB, PETRO SERVICES","(CAUTION BANCAIRE) DATE EXTREME  : 2002-2003, SORT FINAL : DESTRUCTION",
"""GULMU """"""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, PETRO GULMU","(ETAT) DATE EXTREME  : 2005, 2014, SORT FINAL : DESTRUCTION",
"""TITRE/DOSSIER : VENTE DE PRODUITS PETROLIERS : CLIENTELE """"FASO OIL""""""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, FASO OIL, DISTRIBUTION, AGREMENT","(CORRESPONDANCE, STATUT, ATTESTATION) DATE EXTREME  : 2011,",20052014 SORT FINAL : CONSERVATION DEFINITIVE
"""ENERGIES""""""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, FACTURATION, MEGA ENERGIE","(ETAT, FACTURE) DATE EXTREME  : 2014, SORT FINAL : CONSERVATION DEFINITIVE",
"""TITRE/DOSSIER : VENTE DE PRODUITS PETROLIERS : CLIENTELE """"SODIS OIL""""""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, SODIS OIL","(BON D'ENLEVEMENT) DATE EXTREME  : 2010, SORT FINAL : CONSERVATION DEFINITIVE",
"""GUINEE""""""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, CPCI GUINEE","(RAPPORT, ETAT, LETTRE ARRIVEE) DATE EXTREME  : 2009, SORT FINAL : CONSERVATION DEFINITIVE",
"""TITRE/DOSSIER : VENTE DE PRODUITS PETROLIERS : CLIENTELE """"ECO OIL""""""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, ECO OIL","(FACTURE, BON D'ENLEVEMENT) DATE EXTREME  : 2014, SORT FINAL : CONSERVATION DEFINITIVE",
"""OIL""""""",,"VENTE, PRODUIT PETROLIER, AGREMENT, DISTRIBUTION, ACCESS OIL","(BORDEREAU DE LIVRAISON, DEMANDE D'AGREMENT) DATE EXTREME  : 2018,",2018 SORT FINAL : CONSERVATION DEFINITIVE
"""TITRE/DOSSIER : VENTE DE PRODUITS PETROLIERS : CLIENTELE """"SORECOB""""""",,"VENTE, PRODUIT PETROLIER, CLIENTELE, SORECOB, LUBRIFIANT, AGREMENT","(DEMANDE D'AGREMENT) DATE EXTREME  : 2014, SORT FINAL : CONSERVATION DEFINITIVE",
"""MOTORS""""""",,"VENTE, HUILE, YAMALUDE, CFAO MOTORS, AGREMENT","(FACTURE) DATE EXTREME  : 2008, 2014-2015,",200820142015 SORT FINAL : CONSERVATION DEFINITIVE
1218/FRP,VENTE DE PRODUITS PETROLIERS : COMMISSION D'AGREMENT EN QUALITE DE DISTRIBUTEUR DE PRODUITS PETROLIERS ET DERIVES 2011-2012,"VENTE, PRODUIT PETROLIER, AGREMENT, DISTRIBUTEUR, CPP","(DECRET, LETTRE ARRIVEE, LETTRE DEPART, COMPTE RENDU, ETAT) DATE EXTREME  : 2011-2012,",20112012 SORT FINAL : CONSERVATION DEFINITIVE
1219/FRP,VENTE DE PRODUITS PETROLIERS : COMITE INTERMINISTERIEL DE DETERMINATION DES PRIX DES HYDROCARBURES CIDPH,"VENTE, PRODUIT PETROLIER, CIDPH, COMMUNICATION, STRUCTURE DE PRIX","(RAPPORT) DATE EXTREME  : 2013,",2013 SORT FINAL : CONSERVATION DEFINITIVE
1220/FRP,VENTE DE PRODUITS PETROLIERS: ETAT RECAPITULATIF DE SORTIES GAZ FEVRIER 2017,"VENTE, ETAT RECAPITULATIF, SORTIES GAZ, PRODUIT PETROLIER","(ETAT) DATE EXTREME  : FEVRIER 2017, PASSAGE GED   : NON SORT FINAL : DSETRUCTION",
1221/FRP,VENTE DE PRODUITS PETROLIERS: ETAT RECAPITULATIF DE SORTIES GAZ MARS 2017,"VENTE, ETAT RECAPITULATIF, SORTIE GAZ, PRODUIT PETROLIER","(ETAT) DATE EXTREME  : MARS 2017, PASSAGE GED   : NON SORT FINAL : DESTRCUTION",
1222/FRP,VENTE DE PRODUITS PETROLIERS: ETAT RECAPITULATIF DES SORTIES GAZ AVRIL 2017,"VENTE, ETAT RECAPITULATIF, SORTIE GAZ, PRODUIT PETROLIER","(ETAT ) DATE EXTREME  : AVRIL 2017, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1223/FRP,VENTE DE PRODUITS PETROLIERS: ETAT RECAPITULETIF DES SORTIES GAZ MAI 2017,"VENTE, ETAT RECAPITULATIF, SORTIE GAZ, PRODUIT PETROLIER","(ETAT) DATE EXTREME  : MAI 2017, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1224/FRP,VENTE DE PRODUITS PETROLIERS: ETATS RECAPITULATIFS DES SORTIES GAZ JUIN 2017,"VENTE, ETAT RECAPITULATIF, SORTIUE GAZ, PRODUIT PETROLIER","(ETAT ) DATE EXTREME  : JUIN 2017, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1225/FRP,VENTE DE PRODUITS PETROLIERS: ETATS RECAPITULATIFS DES SORTIES GAZ JUILLET 2017,"VENTE, ETAT RECAPITULATIF, SORTIE GAZ, PRODUIT PETROLIER","(ETAT) DATE EXTREME  : JUILLET 2017, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1226/FRP,VENTE DE PRODUITS PETROLIERS: ETAT RECAPITULATIFS DES SORTIES GAZ D'AOUT 2017,"VENTE, ETAT RECAPITULATIF, SORTIE GAZ, PRODUIT PETROLIER","(ETAT) DATE EXTREME  : AOUT 2017, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1227/FRP,VENTE DE PRODUITS PETROLIERS: ETAT DE SORTIES GAZ SEPTEMBRE 2017,"VENTE, ETAT RECAPITULATIF, SORTIE GAZ, PRODUIT PETROLIER","(ETAT ) DATE EXTREME  : SEPTEMBRE 2017, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1228/FRP,VENTE DE PRODUITS PETROLIERS: ETAT RECAPITULATIF DE SORTIES DE GAZ D'OCTOBRE 2017,"VENTE, ETAT RECAPITULATIF, SORTIE GAZ, PRODUIT PETROLIER","(ETAT) DATE EXTREME  : OCTOBRE 2017, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1229/FRP,VENTE DE PRODUITS PETROLIERS :ETAT RECAPITULATIF DE SORTIES GAZ DE NOVEMBRE 2017,"VENTE, ETAT RECAPITULATIF, SORTIE GAZ, PRODUIT PETROLIER","(ETAT) DATE EXTREME  : NOVEMBRE 2017, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1230/FRP,VENTE DE PRODUITS PETROLIERS : ETATS RECAPITULATIFS DE SORTIES GAZ DECEMBRE 2017,"VENTE, ETAT RECAPITULATIF, SORTIE GAZ, PRODUIT PETROLIER","(ETAT ) DATE EXTREME  : DECEMBRE 2017, PASSAGE GED   : NON SORT FINAL : DESTRCUTION",
1231/FRP,VENTE DE PRODUITS PETROLIERS: FACTURES PLUF DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, PLUF","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1232/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES SP NAFI OIL DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, SP NAFI OIL, FACTURATION","(FACTURE ) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1233/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES SMB SA DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, SMB.SA","(FACTURE ) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1234/FRP,VENTE DE PRODUITS PETROLIERS: FACTURE B.ENERGY DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, B.ENERGY","(FACTURE ) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1235/FRP,VENTE DE PRODUITS PETROLIES: FACTURES HYDRO-LUB DE JUILLET A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, HUDRO-LUB","(FACTURE ) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1236/FRP,VENTE DE PRODUITS PETROLIERS : FACTURES PETROLEUM DE MAI A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, PETROLEUM","(FACTURE ) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1237/FRP,VENTE DE PRODUITS PETROLIERS: FACTURES ORYX BURKINA DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, ORYX B","(FACTURE ) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1238/FRP,VENTE DE PRODUITS PETROLIERS: FACTURE SONABEL DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, SONABEL","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1239/FRP,VENTE DE PRODUITS PETROLIERS: FACTURES RM ET ND DE JUIN A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION","(FACTURE ) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1240/FRP,VENTE DE PRODUITS PETROLIERS: FACTURES SKI DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, SKI","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1241/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE LIBYA OIL DE FEVRIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, LIBYA OIL","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1242/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE TOTAL BURKINA AOUT A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, TOTAL BURKINA, FACTURATION","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1243/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE STAR OIL ET COSA 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, STAR OIL, COSA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1244/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE SODHYFA SA DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, SIDHYFA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1245/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE ELIKAN DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, ELIKAN","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1246/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE PEFAN DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, PEFAN","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1247/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE YAMEOGO MBIKA IRENE DE FEVRIER A JUIN 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, YAMEOGO MBIKA IRENE","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1248/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE PETRO MONDE DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, PETRO MONDE","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1249/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE VIVO ENERGIE B DU JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, VIVO ENERGY BURKINA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1250/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE ROYALE SERVICE DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, ROYALE SERVICE","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1251/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE EMGA DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, EMGA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1252/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE PETRODIS DE JANVIER A NOVEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, PETRODIS","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1253/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE VIVO ENERGIE DE JUILLET A NOVEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, VIVO ENERGY BURKINA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1254/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE SODIP SA DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, SODIP SA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1255/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE PEGAZ SA DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, PEGAZ SA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1256/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE SODISER SA DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, SODISER SA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1257/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE TOTAL B DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, TOTAL BURKINA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1258/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE EDILCO DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, EDILCO","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1259/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE SONABHY DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, SONABHY","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1260/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE TRENSON INVESTISSEMENT TRADING,"VENTE, PRODUIT PETROLIER, FACTURATION, TRENSON INVESTISSEMENT TRADING","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1261/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE SELF D'AVRIL A JUIN 2019,"VENTE, PRODUIT PETROLIER, FACTURATION, SELF","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1262/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE BOUN AOUFO DE MAI A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, BOUN AOUFO","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1263/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE SOBUCOP DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, SOBUCOP","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1264/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE MARO DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, MARO","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1265/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE ECODIS DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, ECODIS","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1266/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE PETRO SAR DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, PETRO SAR","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1267/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE VIVO ENERGIE DE JANVIER A NOVEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, VIVO ENERGY BURKINA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1268/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE TOTAL B DE JANVIER A MAI 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, TOTAL BURKINA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1269/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE EXTRA - OIL DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, EXTRA - OIL","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1270/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE FASO OIL DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, FASO OIL","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1271/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE PETROFA DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, PETROFA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1272/FRP,VENTE DE PRODUITS PETROLIERS : FACTURE PRIME OIL SA DE JANVIER A DECEMBRE 2016,"VENTE, PRODUIT PETROLIER, FACTURATION, PRIME OIL SA","(FACTURE) DATE EXTREME  : 2016, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
