ref,cote,titre,analyse_diplomatique,date,contenu
0325,0121/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL BURKINA,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL BURKINA"
0326,0122/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL BURKINA,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL BURKINA"
0327,0123/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL BURKINA,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL BURKINA"
0328,0124/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL BURKINA,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL BURKINA"
0329,0125/STR,DECLARATION DE MISE A LA CONSOMMATION : TOTAL BURKINA,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TOTAL BURKINA"
0330,0126/STR,DECLARATION DE MISE A LA CONSOMMATION : MOBIL OIL BURKINA,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, MOBIL OIL BURKINA"
0331,0127/STR,DECLARATION DE MISE A LA CONSOMMATION : TAGUI,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, TAGUI"
0332,0128/STR,DECLARATION DE MISE A LA CONSOMMATION : SONABHY,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, SONABHY"
0333,0129/STR,DECLARATION DE MISE A LA CONSOMMATION : DDO,"(IMPRIME DMC) , 1999",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, DDO"
0334,0130/STR,DECLARATION DE MISE A LA CONSOMMATION : GASOIL,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0335,0131/STR,DECLARATION DE MISE A LA CONSOMMATION : GASOIL,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0336,0132/STR,DECLARATION DE MISE A LA CONSOMMATION : GASOIL,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0337,0133/STR,DECLARATION DE MISE A LA CONSOMMATION : GASOIL,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0338,0134/STR,DECLARATION DE MISE A LA CONSOMMATION : PETROLE,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, PETROLE"
0339,0135/STR,DECLARATION DE MISE A LA CONSOMMATION : ESSENCE,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, ESSENCE"
0340,0136/STR,DECLARATION DE MISE A LA CONSOMMATION : SUPER,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, SUPER"
0341,0137/STR,DECLARATION DE MISE A LA CONSOMMATION : SUPER,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, SUPER"
0342,0138/STR,DECLARATION DE MISE A LA CONSOMMATION :  SUPER,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, SUPER"
0343,0139/STR,DECLARATION DE MISE A LA CONSOMMATION : SUPER,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, SUPER"
0344,0140/STR,DECLARATION DE MISE A LA CONSOMMATION : SUPER,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, SUPER"
0345,0141/STR,DECLARATION DE MISE A LA CONSOMMATION : DDO,"(IMPRIME DMC) , 2000",,"TRANSIT, DMC, DEDOUANEMENT, PRODUIT PETROLIER, DDO"
0346,0142/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GAZ,"(IMPRIME S4) , 1998",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0347,0143/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4),"(IMPRIME S4) , 1998",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0348,0144/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4),"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0349,0145/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4),"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0350,0146/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4),"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0351,0147/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4),"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0352,0148/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : ESSENCE,"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0353,0149/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : ESSENCE,"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0354,0150/STR,"DECLARATION D'IMPORTATION TEMPORAIRE (S4) : ESSENCE, PETROLE","(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, ESSENCE, PETROLE"
0355,0151/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : PETROLE,"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, PETROLE"
0356,0152/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : SUPER,"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, SUPER"
0357,0153/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : SUPER,"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, SUPER"
0358,0154/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : DDO,"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, DDO"
0359,0155/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : DDO,"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, DDO"
0360,0156/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GASOIL,"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0361,0157/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GASOIL,"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0362,0158/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GAZ BUTANE,"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GAZ BUTANE"
0363,0159/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GAZ BUTANE,"(IMPRIME S4) , 1999",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GAZ BUTANE"
0364,0160/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4),"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0365,0161/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GASOIL,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0366,0162/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GASOIL,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0367,0163/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GASOIL,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0368,0164/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GASOIL,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0369,0165/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GASOIL,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0370,0166/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GASOIL,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0371,0167/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GASOIL,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0372,0168/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GASOIL,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0373,0169/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GASOIL,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GASOIL"
0374,0170/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : ESSENCE,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, ESSENCE"
0375,0171/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : DDO,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, DDO"
0376,0172/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : DDO,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, DDO"
0377,0173/STR,"DECLARATION D'IMPORTATION TEMPORAIRE (S4) : PETROLE, SUPER","(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, PETROLE, SUPER"
0378,0174/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GAZ BUTANE,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GAZ BUTANE"
0379,0175/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GAZ BUTANE,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GAZ BUTANE"
0380,0176/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : GAZ BUTANE,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, GAZ BUTANE"
0381,0177/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : PETROLE,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, PETROLE"
0382,0178/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : PETROLE,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, PETROLE"
0383,0179/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : PETROLE,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER, PETROLE"
0384,0180/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : CA I,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0385,0181/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : CA II,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0386,0182/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : CA III,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0387,0183/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : CA IV,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0388,0184/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : CA V,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0389,0185/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : CA VI,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0390,0186/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : CA VII,"(IMPRIME S4) , 2000",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0391,0187/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4),"(IMPRIME S4) , 2001",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0392,0188/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°174 - 199,"(IMPRIME S4) , 2002",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0393,0189/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°200 - 250,"(IMPRIME S4) , 2002",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0394,0190/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°251 - 299,"(IMPRIME S4) , 2002",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0395,0191/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : 301 - 399,"(IMPRIME S4) , 2002",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0396,0192/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°400 - 458,"(IMPRIME S4) , 2002",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0397,0193/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°463 - 540,"(IMPRIME S4) , 2002",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0398,0194/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°541 - 599,"(IMPRIME S4) , 2002",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0399,0195/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°600 - 650,"(IMPRIME S4) , 2002",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0400,0196/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°651 - 730,"(IMPRIME S4) , 2002",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0401,0197/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°731 - 800,"(IMPRIME S4) , 2002",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0402,0198/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N° 801 - 814,"(IMPRIME S4) , 2002",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0403,0199/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°002 - 050,"(IMPRIME S4) , 2003",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0404,0200/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°051 - 090,"(IMPRIME S4) , 2003",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0405,0201/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N° 091 - 150,"(IMPRIME S4) , 2003",,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER"
0406,0176/SMO,BORDEREAU DE RECEPTION,,"JANVIERFEVRIER , 2000","BORDEREAU, RECEPTION, CAMION"
0407,0177/SMO,BORDEREAU DE RECEPTION,,"MARSAVRIL , 2000","BORDEREAU, RECEPTION, CAMION"
0408,0178/SMO,BORDEREAU DE RECEPTION,,"MAIJUIN , 2000","BORDEREAU, RECEPTION, CAMION"
0409,0179/SMO,BORDEREAU DE RECEPTION,,"JUILLETAOUT , 2000","BORDEREAU, RECEPTION, CAMION"
0410,0180/SMO,BORDEREAU DE RECEPTION,,"SEPTEMBREOCTOBRE , 2000","BORDEREAU, RECEPTION, CAMION"
0411,0181/SMO,BORDEREAU DE RECEPTION,,"NOVEMBRE DECEMBRE , 2000","BORDEREAU, RECEPTION, CAMION"
0412,0182/SMO,BORDEREAU DE RECEPTION,,"JANVIERFEVRIER , 2001","BORDEREAU, RECEPTION, CAMION"
0413,0183/SMO,BORDEREAU DE RECEPTION,,"MARSAVRIL , 2001","BORDEREAU, RECEPTION, CAMION"
0414,0184/SMO,BORDEREAU DE RECEPTION,,"MAIJUIN , 2001","BORDEREAU, RECPTION, CAMION"
0415,0185/SMO,BORDEREAU DE RECEPTION,,"JUILLETAOUT , 2001","BORDEREAU, RECEPTION, CAMION"
0416,0186/SMO,BORDEREAU DE RECEPTION,,"SEPTEMBREOCTOBRE , 2001","BORDEREAU, RECEPTION, CAMION"
0417,0187/SMO,BORDEREAU DE RECEPTION,,"NOVEMBREDECEMBRE , 2001","BORDEREAU, RECEPTION, CAMION"
0418,0188/SMO,BORDEREAU DE RECEPTION,,"JANVIERFEVRIERMARS , 2002","BORDEREAU, RECEPTION, CAMION"
0419,0189/SMO,BORDEREAU DE RECEPTION,,"MARSAVRILMAI , 2002","BORDEREAU, RECEPTION, CAMION"
0420,0190/SMO,BORDEREAU DE LIVRAISON (ROSE),(BORDEREAU),"AVRIL , 2003","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0421,0191/SMO,BORDEREAU DE LIVRAISON (ROSE),(BORDEREAU),"JUIN I , 2003","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0422,0192/SMO,BORDEREAU DE LIVRAISON (ROSE),(BORDEREAU),"JUIN II , 2003","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0423,0193/SMO,BORDEREAU DE LIVRAISON,(BORDEREAU),"JUILLET I , 2003","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0424,0194/SMO,BORDEREAU DE LIVRAISON (ROSE),(BORDEREAU),"JUILLET II , 2003","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0425,0195/SMO,BORDEREAU DE LIVRAISON (ROSE),(BORDEREAU),"AOUT I , 2003","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0426,0196/SMO,BORDEREAU DE LIVRAISON (ROSE),(BORDEREAU),"AOUT II , 2003","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0427,0197/SMO,BORDEREAU DE LIVRAISON (ROSE),(BORDEREAU),"SEPTEMBRE I , 2003","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0428,0198/SMO,BORDEREAU DE LIVRAISON (ROSE),(BORDEREAU),"SEPTEMBRE II , 2003","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0429,0199/SMO,BORDEREAU DE LIVRAISON (ROSE),(BORDEREAU),"OCTOBRE , 2003","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0430,0195/CS,ENTREES BINGO JANVIER DECADE I II III,"(BON , BORDEREAU DE LIVRAISON)","JANVIER , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0431,0196/CS,ENTREE BINGO FEVRIER DECADE I II III,"(BON , BORDEREAU DE LIVRAISON)","FEVRIER , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0432,0197/CS,ENTREE BINGO MARS DECADE I II,"(BON , BORDEREAU DE LIVRAISON)","MARS , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0433,0198/CS,ENTREE BINGO MARS DECADE III,"(BON , BORDEREAU DE LIVRAISON)","MARS , 2003","ENTREES BINGO, PRODUIT PETROLIER"
0434,0199/CS,ENTREE BINGO AVRIL DECADE I,"(BON , BORDEREAU DE LIVRAISON)","AVRIL , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0435,0200/CS,ENTREE BINGO AVRIL DECADE II,"(BON , BORDEREAU DE LIVRAISON)","AVRIL , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0436,0201/CS,ENTREE BINGO AVRIL DECADE III,"(BON , BORDEREAU DE LIVRAISON)","AVRIL , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0437,0202/CS,ENTREE BINGO MAI DECADE I II,"(BON , BORDEREAU DE LIVRAISON)","MAI , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0438,0203/CS,ENTREE BINGO MAI DECADE III,"(BON , BORDEREAU DE LIVRAISON)","MAI , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0439,0204/CS,ENTREE BINGO JUIN DECADE I,"(BON , BORDEREAU DE LIVRAISON)","JUIN , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0440,0205/CS,ENTREE BINGO JUIN DECADE II,"(BON , BORDEREAU DE LIVRAISON)","JUIN , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0441,0206/CS,ENTREE BINGO JUIN DECADE III,"(BON , BORDEREAU DE LIVRAISON)","JUIN , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0442,0207/CS,ENTREE BINGO JUILLET DECADE I,"(BON , BORDEREAU DE LIVRAISON)","JUILLET , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0443,0208/CS,ENTREE BINGO JUILLET DECADE II,"(BON , BORDEREAU DE LIVRAISON)","JUILLET , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0444,0209/CS,ENTREE BINGO JUILLET DECADE III,"(BON , BORDEREAU DE LIVRAISON)","JUILLET , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0445,0210/CS,ENTREE BINGO AOUT DECADE I,"(BON , BORDEREAU DE LIVRAISON)","AOUT , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0446,0211/CS,ENTREE BINGO AOUT DECADE II,"(BON , BORDEREAU DE LIVRAISON)","AOUT , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0447,0212/CS,ENTREE BINGO AOUT DECADE III,"(BON , BORDEREAU DE LIVRAISON)","AOUT , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0448,0213/CS,ENTREE BINGO SEPTEMBRE DECADE I,"(BON , BORDEREAU DE LIVRAISON)","SEPTEMBRE , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0449,0214/CS,ENTREE BINGO SEPTEMBRE DECADE II,"(BON , BORDEREAU DE LIVRAISON)","SEPTEMBRE , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0450,0215/CS,ENTREE BINGO SEPTEMBRE DECADE III,"(BON , BORDEREAU DE LIVRAISON)","SEPTEMBRE , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0451,0216/CS,ENTREE BINGO OCTOBRE DECADE I,"(BON , BORDEREAU DE LIVRAISON)","OCTOBRE , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0452,0217/CS,ENTREE BINGO OCTOBRE DECADE II,"(BON , BORDEREAU DE LIVRAISON)","OCTOBRE , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0453,0218/CS,ENTREE BINGO OCTOBRE DECADE III,"(BON , BORDEREAU DE LIVRAISON)","OCTOBRE , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0454,0219/CS,ENTREE BINGO NOVEMBRE DECADE I,"(BON , BORDEREAU DE LIVRAISON)","NOVEMBRE , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0455,0220/CS,ENTREE BINGO NOVEMBRE DECADE II,"(BON , BORDEREAU DE LIVRAISON)","NOVEMBRE , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0456,0221/CS,ENTREE BINGO NOVEMBRE DECADE III,"(BON , BORDEREAU DE LIVRAISON)","NOVEMBRE , 2003","ENTREE BINGO, PRODUIT PETROLIER"
0457,0222/CS,SORTIE BINGO JANVIER DECADE I II,"(BON , BORDEREAU D ' ENLEVEMENT)","JANVIER , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0458,0223/CS,SORTIE BINGO JANVIER DECADE III,"(BON, BORDEREAU D' ENLEVEMENT)","JANVIER , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0459,0224/CS,SORTIE BINGO FEVRIER DECADE I,"(BON, BORDEREAU D'ENLEVEMENT)","FEVRIER , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0460,0225/CS,SORTIE BINGO FEVIER DECADE II,"(BON, BORDEREAU D'ENLEVEMENT )","FEVRIER , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0461,0226/CS,SORTIE BINGO FEVRIER DECADE III 2003,"(BON, BORDEREAU D'ENLEVEMENT)","FEVRIER , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0462,0227/CS,SORTIE BINGO MARS DECADE I 2003,"(BON, BORDEREAU D'ENLEVEMENT)","MARS , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0463,0228/CS,SORTIE BINGO MARS DECADE II 2003,"(BON, BORDEREAU D'ENLEVEMENT)",2003,"SORTIE BINGO, PRODUIT PETROLIER"
0464,0229/CS,SORTIE BINGO MARS DECADE III 2003,"(BON, BORDEREAU D'ENLEVEMENT)","FEVRIER , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0465,0229/CS,SORTIE BINGO MARS DECADE III 2003,"(BON, BORDEREAU D'ENLEVEMENT)","FEVRIER , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0466,0229/CS,SORTIE BINGO MARS DECADE III 2003,"(BON, BORDEREAU D'ENLEVEMENT)","FEVRIER , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0467,0230/CS,SORTIE BINGO AVRIL DECADE I 2003,"(BON, BORDEREAU D'ENLEVEMENT)","AVRIL , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0468,0231/CS,SORTIE BINGO AVRIL DECADE II 2003,"(BON, BORDEREAU D'ENLEVEMENT)",2003,"SORTIE BINGO, PRODUIT PETROLIER"
0469,0232/CS,SORTIE BINGO AVRIL DECADE III 2003,"(BON, BORDEREAU D'ENLEVEMENT)",2003,"SORTIE BINGO, PRODUIT PETROLIER"
0470,0233/CS,SORTIE BINGO MAI DECADE I 2003,"(BON, BORDEREAU D'ENLEVEMENT)","MAI , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0471,0234/CS,SORTIE BINGO MAI DECADE II 2003,"(BON, BORDEREAU D'ENLEVEMENT)",2003,"SORTIE BINGO, PRODUIT PETROLIER"
0472,0235/CS,SORTIE BINGO MAI DECADE III 2003,"(BON, BORDEREAU D'ENLEVEMENT)",2003,"SORTIE BINGO, PRODUIT PETROLIER"
0473,0236/CS,SORTIE BINGO JUIN DECADE I 2003,"(BON, BORDEREAU D'ENLEVEMENT)","JUIN , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0474,0237/CS,SORTIE BINGO JUIN DECADE II 2003,"(BON, BORDEREAU D'ENLEVEMENT)","JUIN , 2003","SORTIE BINGO, PRODUIT PETROLIER"
0475,0238/CS,SORTIE BINGO JUIN DECADE III 2003,"(BON, BORDEREAU D'ENLEVEMENT)","JUIN , 2003","SORTIE BINGO, PRODUIT PETROLIER"
