ref,titre,contenu,analyse_diplomatique,date
0360/SV,FACTURE TOTAL BURKINA/JANVIER-DECEMBRE 2007,"TOTAL BURKINA, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER-DECEMBRE 2007
0361/SV,FACTURE SODIGAZ/JANVIER-DECEMBRE 2007,"SODIGAZ, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER-DECEMBRE 2007
0362/SV,FACTURE OILIBYA/JANVIER-DECEMBE 2007,"OILIBYA, VENTE, SONABHY, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER-DECEMBRE 2007
0363/SV,FACTURESOGEL-B/JANVIER-DECEMBRE 2007,"SOGEL-B, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER-DECEMBRE 2007
0364/SV,FICHE DE SORTIES PRODUIT BINGO/JANVIER-DECEMBRE 2007-2008,"FICHE DE SORTIES, VENTE, SONABHY, DEPOT BINGO, PRODUIT PETROLIER",(FICHE),JANVIER-DECEMBRE 2007-2008
0365/SV,FACTURE PETROFA /JANVIER-DECEMBRE 2007,"PETROFA , VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER-DECEMBRE 2007
0366/SV,FACTURE ORYX-B/JANVIER-DECEMBRE 2007,"ORYX, VENTE, SONABHY, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER-DECEMBRE 2007
0367/SV,FACTURE OTAM/JANVIER-DECEMBRE 2007,"OTAM, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER-DECEMBRE 2007
0368/SV,FACTURE ANNULEE:BURKINA ET SHELL/2007,"BURKINA ET SHELL, FACTURATION, ANNULATION, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),2007
0369/SV,FACTURE:PLUF/JANVIER-DECEMBRE 2007,"PLUF, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER -DECEMBRE 2007
0370/SV,FACTURE/DROIT ET TAXES DE DOUANE N°001-050/2007,"DROIT ET TAXE DE DOUANE , VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER -DECEMBRE 2007
0371/SV,FACTURE:SUBVENTION SONABEL/2007,"SONABEL, VENTE, SUBVENTION, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER -DECEMBRE 2007
0372/SV,FACTURE:SUBVENTION SONABEL/2007,"SONABEL, VENTE, SUBVENTION, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),2007
0373/SV,FACTURE ENTRETIEN BOUTEILLE/JANVIER-JUILLET 2007,"BOUTEILLE DE GAZ, VENTE, ENTRETIEN, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER-JUILLET 2007
0374/SV,SITUATION DES SORTIES SUBVENTIONNEES/JANVIER-AVRIL 2007,"SUBVENTION , VENTE, DEPOT BINGO, PRODUIT PETROLIER",(ETAT),JANVIER-AVRIL 2007
0375/SV,FACTURE ANNULEE/PETRO-GULMU 2007,"VENTE, FACTURATION, ANNULATION, PRODUIT PETROLIER",(FACTURE),2007
0376/SV,FACTURE OMGA/JANVIER-DCEMBRE 2007,"OMGA, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER-DECEMBRE 2007
0377/SV,FACTURE PETROLUB/JANVIER-DECEMBRE 2007,"PETROLUB, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER-DECEMBRE 2007
0378/SV,FACTURE:SGE (SOCIETE GENERALE DE L'EST) /JANVIER-DECEMBRE 2007,"SGE, VENTE, SONABHY, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),JANVIER-DECEMBRE 2007
0379/SV,"FACTURE:SONABHY OUAGA,SONABHY BOBO,PETRO-GAZ/2007","PETRO-GAZ, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),2007
0380/SV,BON D'ENLEVEMENT SKI/2007,"SKI, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(BON),2007
0381/SV,NOTE DE CREDIT N°001-181/2007,"NOTE DE CREDIT, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),2007
0382/SV,NOTE DE CREDIT N°181-373/2007,"NOTE DE CREDIT, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(FACTURE),2007
0383/SV,RELEVE DECADAIRE DES SORTIES BINGO/2007,"DECADE, VENTE, DEPOT BINGO, PRODUIT PETROLIER",(RELEVE),2007
0338/ST,BON D'ENLEVEMENT JAUNE DEPOT JANVIER 2008/N°11.516 A 12.145,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JANVIER 2008 PASSAGE GED : NON
0339/ST,BON D'ENLEVEMENT JAUNE DEPOT FEVRIER 2008/N°12.147 A 12.794,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),FEVRIER 2008 PASSAGE GED : NON
0340/ST,BON D'ENLEVEMENT JAUNE DEPOT MARS 2008/N°12.796 A 13.302,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),MARS 2008 PASSAGE GED : NON
0341/ST,BON D'ENLEVEMENT JAUNE DEPOT AVRIL 2008/N°13.303 A 13.976,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),AVRIL 2008 PASSAGE GED : NON
0342/ST,BON D'ENLEVEMENT JAUNE DEPOT MAI 2008/N°13.977 A 14.516,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),MAI 2008 PASSAGE GED : NON
0343/ST,BON D'ENLEVEMENT JAUNE DEPOT JUIN 2008/N°14.517 A 14.860,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JUIN 2008 PASSAGE GED : NON
0344/ST,BON D'ENLEVEMENT JAUNE DEPOT JUILLET 2008/N°14.861 A 15.531,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JUILLET 2008 PASSAGE GED : NON
0345/ST,BON D'ENLEVEMENT JAUNE DEPOT AOUT 2008/N°15.532 A 15.975,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),AOUT 2008 PASSAGE GED : NON
0346/ST,BON D'ENLEVEMENT JAUNE DEPOT SEPTEMBRE 2008/N°15.976 A 16.636,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),SEPTEMBRE 2008 PASSAGE GED : NON
0347/ST,BON D'ENLEVEMENT JAUNE DEPOT OCTOBRE 2008/N°16.637 A 17.180,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),OCTOBRE 2008 PASSAGE GED : NON
0348/ST,BON D'ENLEVEMENT JAUNE DEPOT NOVEMBRE 2008/N°17.181 A 17.612,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),NOVEMBRE 2008 PASSAGE GED : NON
0349/ST,BON D'ENLEVEMENT JAUNE DEPOT DECEMBRE 2008/N°17.614 A 18.077.,"ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),DECEMBRE 2008 PASSAGE GED : NON
0350/ST,"BONS D'ENLEVEMENT JAUNES ANNULES, DROITURES JANVIER-DECEMBRE/2008","ENLEVEMENT, PRODUIT PETROLIER, DROITURE, ANNULATION, DEPOT BINGO",(BON),JANVIER - DECEMBRE 2008 PASSAGE GED : NON
0351/ST,"BONS D'ENLEVEMENT BLEUS DEPOT BINGO,JANVIER 2009.N°18.098 - 18.529","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JANVIER 2009 PASSAGE GED : NON
0352/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO FEVRIER 2009.N°18.531 - 18.738,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),FEVRIER 2009 PASSAGE GED : NON
0353/ST,"BONS D'ENLEVEMENT BLEUS DEPOT BING,SUITE FEVRIER 2009.N°18.739 - 19.074","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),FEVRIER II 2009 PASSAGE GED : NON
0354/ST,"BONS D'ENLEVEMENT BLEUS DEPOT BING,MARS 2009.N° 19.076 - 19.325","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),MARS I 2009 PASSAGE GED : NON
0355/ST,"BONS D'ENLEVEMENT BLEUS DEPOT BING,MARS 2009.N° 19.326- 19.572","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),MARS II 2009 PASSAGE GED : NON
0356/ST,"BONS D'ENLEVEMENT BLEUS DEPOT BING,MARS 2009.N° 19.573 - 19.862","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),MARS III 2009 PASSAGE GED : NON
0357/ST,"BONS D'ENLEVEMENT BLEUS DEPOT BING,AVRIL 2009.N° 19.863 - 20.048","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),AVRIL I 2009 PASSAGE GED : NON
0358/ST,"BONS D'ENLEVEMENT BLEUS DEPOT BING,AVRIL 2009.N° 20.049 - 20.293","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),AVRIL II 2009 PASSAGE GED : NON
0359/ST,"BONS D'ENLEVEMENT BLEUS DEPOT BING,AVRIL 2009.N° 20.294- 20.483","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),AVRIL III 2009 PASSAGE GED : NON
0360/ST,"BONS D'ENLEVEMENT BLEUS DEPOT BING,MAI 2009.N° 20.484 - 20.735","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),MAI I 2009 PASSAGE GED : NON
0361/ST,"BONS D'ENLEVEMENT BLEUS DEPOT BING,MAI 2009.N°20.736",,,
,,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),MAI II 2009 PASSAGE GED : NON
0362/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO JUIN 2009.N°20.992 - 21.129,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JUIN I 2009 PASSAGE GED : NON
0363/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO JUIN 2009.N°21.130 - 21.253,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JUIN II 2009 PASSAGE GED : NON
0364/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO JUIN 2009.N°21.254 - 21.381,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JUIN III 2009 PASSAGE GED : NON
0365/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO JUIN 2009.N°21.383 -21.574,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JUIN IV 2009 PASSAGE GED : NON
0366/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO JUIN 2009.N°21.576 -21.736,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JUIN V 2009 PASSAGE GED : NON
0367/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO JUILLET 2009.N°21.737 - 21.935,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JUILLET I 2009 PASSAGE GED : NON
0368/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO JUILLET  2009.N° 21.936 - 22.129,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JUILLET II 2009 PASSAGE GED : NON
0369/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO JUILLET  2009.N° 22.130 - 22.393,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),JUILLET III 2009 PASSAGE GED : NON
0370/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO AOUT 2009.N°22.395 - 22.617,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),AOUT I 2009 PASSAGE GED : NON
0371/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO AOUT 2009.N°22.618 - 22.863,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),AOUT II 2009 PASSAGE GED : NON
0372/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO AOUT 2009.N°22.865 - 23.032,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),AOUT III 2009 PASSAGE GED : NON
0373/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO SEPTEMBRE 2009.N°23.033-23.187,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),SEPTEMBRE I 2009 PASSAGE GED : NON
0374/ST,BONS D'ENLEVEMENT BLEUS DEPOT BINGO SEPTEMBRE 2009.N°23.188 - 23.331,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DEPOT BINGO",(BON),SEPTEMBRE II 2009 PASSAGE GED : NON
0375/ST,"BONS D'ENLEVEMENT BLEUS DEPOT,GAZ BUTANE STSL-LOME,OCTOBRE-NOVEMBRE 2009.","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, STSL-LOME",(BON),OCTOBRE-NOVEMBRE 2009 PASSAGE GED : NON
0376/ST,"BONS D'ENLEVEMENT BLEUS DEPOT,GAZ BUTANE ORYX-COTONOU ,OCTOBRE-NOVEMBRE 2009.","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, ORYX-COTONOU",(BON),OCTOBRE-NOVEMBRE 2009 PASSAGE GED : NON
0377/ST,"BONS D'ENLEVEMENT BLEUS DEPOT,GAZ BUTANE SONACOP ,OCTOBRE-NOVEMBRE 2009.","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, SONACOP",(BON),OCTOBRE-NOVEMBRE 2009 PASSAGE GED : NON
0378/ST,"BONS D'ENLEVEMENT BLEUS DEPOT,GAZ BUTANESTSL-LOME,ORYX-COTONOU, SONACOP SEPTEMBRE 2009.","ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, GAZ BUTANE",(BON),SEPTEMBRE 2009 PASSAGE GED : NON
0379/ST,BONS D'ENLEVEMENT BLEUS DOITURE STSL - LOME N°4.015.954 - 4.016.189,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DROITURE",(BON),2009 PASSAGE GED : NON
0380/ST,BONS D'ENLEVEMENT BLEUS DOITURE STSL - LOME N°4.016.190 - 4.016.494,"ENLEVEMENT, BON BLEU, TRANSPORT, PRODUIT PETROLIER, DROITURE",(BON),2009 PASSAGE GED : NON
0381/ST,"BONS D'ENLEVEMENT JAUNE,DEPOT BINGO.GAZ BUTANE.JANVIER - JUIN/2009","ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, GAZ BUTANE",(BON),JANVIER - JUIN 2009 PASSAGE GED : NON
0382/ST,"BONS D'ENLEVEMENT JAUNE,DEPOT BINGO.GAZ BUTANE.JUILLET-DECEMBRE/2009","ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, GAZ BUTANE",(BON),JUILLET -DECEMBRE. 2009 PASSAGE GED : NON
0383/ST,"BONS D'ENLEVEMENT JAUNE,DEPOT BINGO.BON N°20.035-20.999,AVRIL ET MAI/2009","ENLEVEMENT, BON JAUNE, TRANSPORT, PRODUIT PETROLIER, GAZ BUTANE",(BON),AVRIL-MAI 2009 PASSAGE GED : NON
0384/ST,"BONS D'ENLEVEMENT JAUNE,DEPOT BINGO.BON N°21.000-21.499 JUIN/2009","ENLEVEMENT, BON JAUNE, TRANSPORT, P.PETROLIER, GAZ BUTANE",(BON),JUIN I 2009 PASSAGE GED : NON
0385/ST,"BONS D'ENLEVEMENT JAUNE,DEPOT BINGO.BON N°21.500-21.999 JUIN/2009","ENLEVEMENT, BON JAUNE, TRANSPORT, P.PETROLIER, GAZ BUTANE",(BON),JUIN II 2009 PASSAGE GED : NON
0386/ST,BONS D'ENLEVEMENT DEPOT BINGO N°22.000-22.399 JUILLET/2009,"ENLEVEMENT, BON JAUNE, TRANSPORT, DEPOT BINGO, SONABHY",(BON),2009 PASSAGE GED : NON
0387/ST,BON D'ENLEVEMENT JAUNE DEPOT BINGO N°22.400-22.999,"ENLEVEMENT, BON JAUNE, TRANSPORT, DEPOT BINGO",(BON),2009 PASSAGE GED : NON
0388/ST,BON D'ENLEVEMENT JAUNE DEPOT BINGO N°23.008-23.399.AOUT-SEPTEMBRE/2009,"ENLEVEMENT, BON JAUNE, TRANSPORT, DEPOT BINGO, SONABHY",(BON),AOUT -SEPTEMBRE 2009 PASSAGE GED : NON
0389/ST,BON D'ENLEVEMENT JAUNE DEPOT BINGO N°23.402-23.846 SEPTEMBRE-OCTOBRE/2009,"ENLEVEMENT, BON JAUNE, TRANSPORT, DEPOT BINGO, SONABHY",(BON),SEPTEMBRE-OCTOBRE 2009 PASSAGE GED : NON
0390/ST,"BON D'ENLEVEMENT JAUNE ANNULE.DROITURE N°4.014.487-4.017.641/2009 ET DES BONS JAUNES DIVERS:SONACOP,ORYX-COTONOU,STSL-LOME/2009","ENLEVEMENT, BON JAUNE, TRANSPORT, DROITURE, BON DIVERS",(BON),2009 PASSAGE GED : NON
0390/ST(bis),,,,
0391/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/001 DE SAWADOGO HALIDOU,"TRANSPORT, PRODUIT PETROLIER , SAWADOGO Halidou, CONTRACTUALISATION",(CONTRAT),2002 PASSAGE GED : NON
0392/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/002 DE SOTRACOF,"TRANSPORT, PRODUIT PETROLIER , SOTRACOF, CONTRACTUALISATION","(CORRESPONDANCE, CERTIFICAT DE JAUGEAGE, ATTESTATION, CARTE GRISE)",2005 PASSAGE GED : NON
0393/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/005 DE STS,"TRANSPORT, PRODUIT PETROLIER , STS, CONTRACTUALISATION","(CORRESPONDANCE, CERTIFICAT  DE JAUGEAGE, ATTESTATION, CARTE GRISE)",2005 PASSAGE GED : NON
0394/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/006 DE CLEAN & NET(IMEXTRA),"TRANSPORT, PRODUIT PETROLIER , CLEAN & NET, IMEXTRA, CONTRACTUALISATION","(CORRESPONDANCE, CONTRAT)",2004 PASSAGE GED : NON
0395/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/007 DE GTF,"TRANSPORT, PRODUIT PETROLIER , GTF, ZIMAP, CONTRACTUALISATION","(CORRESPONDANCE, CERTIFICAT DE JAUGEAGE., ATTESTATION, CARTE GRISE)",2005 PASSAGE GED : NON
0396/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/009 DE STD-SODIGAZ,"TRANSPORT, GAZ, STD-SODIGAZ, STATION, CONTRACTUALISATION","(CORRESPONDANCE, CONTRAT, CARTE GRISE)",2005 PASSAGE GED : NON
0397/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/010 DE SOTOF,"TRANSPORT, PRODUIT PETROLIER , SOTOF, CONTRACTUALISATION","(CORRESPONDANCE, ATTESTATION, CARTE GRISE, ATTESTATION)",2005 PASSAGE GED : NON
0399/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/011 DE SOKIMEX,"TRANSPORT, PRODUIT PETROLIER , SOKIMEX, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE)",2005 PASSAGE GED : NON
0400/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/013 DE SOGEBAF,"TRANSPORT, PRODUIT PETROLIER , SOGEBAF, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0401/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/014 DE SOKAF,"TRANSPORT, PRODUIT PETROLIER , SOKAF, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0402/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/015 DE OUEDRAOGO N- Z HAMADO,"TRANSPORT, PRODUIT PETROLIER , OUEDRAOGO N-Z Hamado, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0403/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/016 DE SABA D.AMBROISE,"TRANSPORT, PRODUIT PETROLIER , SABA D.Ambroise, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0404/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/017 DE OUEDRAOGO K. DOMINIQUE,"TRANSPORT, PRODUIT PETROLIER , OUEDRAOGO K.Dominique, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0405/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/018 DE OUEDRAOGO K. SALIFOU,"TRANSPORT, PRODUIT PETROLIER , OUEDRAOGO K.Salifou, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0406/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/019 DE FASO TRANSPORT,"TRANSPORT, PRODUIT PETROLIER , FASO TRANSPORT, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0407/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/021 DE ETRACIB,"TRANSPORT, PRODUIT PETROLIER , ETRACIB, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0408/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/022 DE  DJIRE SALIFOU,"TRANSPORT, P.P, DJIRE Salifou, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0384/SV,"ETATS DES VENTES: SAMPANA SA , SKI, TOTAL MALI, PETRO-GAZ SERVICES, OUMAROU KANAZOE 2005","VENTE, PRODUIT PETROLIER, SAMPANA SA, SKI, TOTAL MALI, PETRO-GAZ SERVICES, OUMAROU KANAZOE, SONABEL, DROITURE",(ETAT),2005 PASSAGE GED : NON
0409/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/023 DE DIANDA K.PAUL,"TRANSPORT, PRODUIT PETROLIER , DIANDA K.Paul, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0410/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/023 DE DIANDA IDRISSA,"TRANSPORT, PRODUIT PETROLIER , DIANDA Idrissa, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0411/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/026 DE COGECI,"TRANSPORT, PRODUIT PETROLIER , COGECI, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0412/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/028 DE SAWADOGO OUMANE,"TRANSPORT, PRODUIT PETROLIER , SAWADOGO Ousmane, CONTRACTUALISATION","(CERTIFICAT DE JAUGEEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0413/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/030 DE OUEDRAOGO G.OUMANE,"TRANSPORT, PRODUIT PETROLIER , OUEDRAOGO G.Ousmane, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2002 PASSAGE GED : NON
0414/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/033 DE TARAM KASSOUM,"TRANSPORT, PRODUIT PETROLIER , TARAM Kassoum, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2002 PASSAGE GED : NON
0415/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/034 DE TARAM ISSA,"TRANSPORT, PRODUIT PETROLIER , TARAM Issa, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0416/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/035 DE BURKINA TRANSPORT,"TRANSPORT, PRODUIT PETROLIER , BURKINA TRANSPORT, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)","2002,2005 PASSAGE GED : NON"
0417/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/038 DE GUISSOU HENRI,"TRANSPORT, PRODUIT PETROLIER , GUISSOU Henri, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0418/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/039 DE KINDA GOME,"TRANSPORT, PRODUIT PETROLIER , KINDA Gomé, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0419/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/040 DE KABRE ISSAKA,"TRANSPORT, PRODUIT PETROLIER , KABRE Issaka, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
0420/ST,DOCUMENT D'ELABORATION DU CONTRAT 2006/041DE KABORE ADAMA,"TRANSPORT, PRODUIT PETROLIER , KABORE Adama, CONTRACTUALISATION","(CERTIFICAT DE JAUGEAGE, ATTESTATION, CONTRAT, CARTE GRISE, CORRESPONDANCE)",2005 PASSAGE GED : NON
